,contextWindow,solutionWindow,trainMSE,testMSE
0,10.0,10.0,0.00034615192085194304,0.00030649441055861194
1,10.0,20.0,0.00036455215457980434,0.0003605647892564373
2,10.0,30.0,0.0003671619053433681,0.0003733763875580825
3,10.0,40.0,0.00036878828039782984,0.0003902964170701275
4,10.0,50.0,0.00036963174299947096,0.00037875837594570375
5,10.0,60.0,0.00036868824384983496,0.0003609185715355632
6,10.0,70.0,0.00036939885290342,0.0003606107779994141
7,10.0,80.0,0.00036764693208909515,0.00037002957098886775
8,10.0,90.0,0.0003671972744481853,0.00036458695107672163
9,10.0,100.0,0.0003667079380817086,0.00036237020728486016
10,10.0,110.0,0.0003682741621067176,0.0003507146846884842
11,10.0,120.0,0.00036459923318499725,0.0003826211851043131
12,10.0,130.0,0.0003662465526240375,0.00035338912256420283
13,10.0,140.0,0.00036439589855232336,0.0003688601255626479
14,10.0,150.0,0.0003652433960823305,0.0003573266644917451
15,10.0,160.0,0.00036423146069047434,0.00036422121351367416
16,10.0,170.0,0.0003652142400803339,0.00035259742252901494
17,10.0,180.0,0.0003630921971610497,0.000368770795260464
18,10.0,190.0,0.00036379386244103553,0.0003604617632474333
19,10.0,200.0,0.00036369168219880154,0.00036449439490712586
20,10.0,210.0,0.00036357848263284366,0.0003722627940209932
21,10.0,220.0,0.00036707002777360004,0.0003760495174582079
22,10.0,230.0,0.00036124871049936317,0.0003788204430487206
23,10.0,240.0,0.00036289973044543463,0.0003634515970726899
24,10.0,250.0,0.00036129393277830593,0.0003747003409963984
25,10.0,260.0,0.0003610410324281548,0.00037926184219595245
26,10.0,270.0,0.0003627048607198455,0.00036112560799408646
27,10.0,280.0,0.0003621104613340421,0.00036373935297400665
28,10.0,290.0,0.0003614381289333853,0.00037123428343073425
29,10.0,300.0,0.0003608898639406132,0.00037182038674563533
30,10.0,310.0,0.0003607972603388806,0.000369999838386961
31,10.0,320.0,0.00036113350024807097,0.00036562729895981897
32,10.0,330.0,0.0003616338580125508,0.0003571468498751617
33,10.0,340.0,0.0003603650103443747,0.0003664695512210675
34,10.0,350.0,0.00036046366287560423,0.00036396313550342524
35,10.0,360.0,0.000362262157056725,0.000343170973790852
36,10.0,370.0,0.00036029433695352535,0.00035689503461594404
37,10.0,380.0,0.0003598456173814391,0.0003574813931228638
38,10.0,390.0,0.00036015246435750127,0.0003519096231690007
39,10.0,400.0,0.00035865519155126426,0.0003604266248598695
40,10.0,410.0,0.0003581495065296662,0.00036107390599725785
41,10.0,420.0,0.00035674776771097864,0.000368891796284311
42,10.0,430.0,0.0003591594441762931,0.0003462290831042817
43,10.0,440.0,0.00035813733438817396,0.0003512736942850612
44,10.0,450.0,0.00035420250023328873,0.0003752680127690121
45,10.0,460.0,0.00035519681101276146,0.00036355989652748876
46,10.0,470.0,0.0003543202761121296,0.0003670533840246023
47,10.0,480.0,0.00035418903787542765,0.00036327626115708055
48,10.0,490.0,0.0003549426693222668,0.0003519944570759717
49,10.0,500.0,0.000353150678787195,0.00036400925297120815
50,10.0,510.0,0.00035346215731105527,0.0003597455230991879
51,10.0,520.0,0.0003522102462176827,0.0003655499801011602
52,10.0,530.0,0.0003532518089704908,0.0003541814522294134
53,10.0,540.0,0.00035207212339490046,0.0003603587343405623
54,10.0,550.0,0.0003542612294850593,0.0003376730901238294
55,10.0,560.0,0.0003535121732378721,0.00034284038146336314
56,10.0,570.0,0.00035234629988727047,0.0003505556984523122
57,10.0,580.0,0.00035230127661817434,0.00034926330936684176
