,contextWindow,solutionWindow,trainMSE,testMSE
0,10.0,10.0,0.0003581587662816256,0.00033813831358458287
1,110.0,10.0,0.00031948276289541324,0.00030806547166333263
2,210.0,10.0,0.0003142043217622424,0.0003308658549749154
3,310.0,10.0,0.0003104369279951748,0.00031559206714924586
4,410.0,10.0,0.0003141552490883072,0.0003162971991968177
5,510.0,10.0,0.0003158894944330467,0.00032199105251192215
6,610.0,10.0,0.0003048536229108282,0.0003489123312841439
7,710.0,10.0,0.0002822990799552661,0.00032854031828481517
8,810.0,10.0,0.0002672442195552402,0.00036561030374940225
9,910.0,10.0,0.00025481156611440353,0.00036365247089949345
10,1010.0,10.0,0.0002771811557085844,0.0003396023777261171
11,10.0,110.0,0.00036496555286408456,0.00037529058395536363
12,110.0,110.0,0.0003580870863729394,0.00036327126169197514
13,210.0,110.0,0.0003549763961592435,0.00037171717596465407
14,310.0,110.0,0.000353953877327195,0.00033981483531534356
15,410.0,110.0,0.00034698013669807467,0.00033918349348633297
16,510.0,110.0,0.00034236032437985197,0.00038895702740564454
17,610.0,110.0,0.0003451129059611132,0.00037638708921489404
18,710.0,110.0,0.00034833903327652165,0.00037935339405487334
19,810.0,110.0,0.0003472370497527412,0.00036357046558856116
20,910.0,110.0,0.0003322053457208854,0.0003381742785006841
21,1010.0,110.0,0.0003087435106877874,0.00030798788110418
22,10.0,210.0,0.00036496997968275645,0.00035597363827324376
23,110.0,210.0,0.0003560046938637492,0.0003865270412096103
24,210.0,210.0,0.0003555273581248042,0.00036856157021650037
25,310.0,210.0,0.0003488417901872162,0.0003738311695215934
26,410.0,210.0,0.00034936503998448705,0.0003527533403509592
27,510.0,210.0,0.00035111342035456914,0.00035220981623966676
28,610.0,210.0,0.00035494944923717596,0.0003522583702409614
29,710.0,210.0,0.00035769529210750967,0.00033836580947268564
30,810.0,210.0,0.00034502267934174004,0.000347672094219922
31,910.0,210.0,0.0003238523867823193,0.0003276802223889567
32,1010.0,210.0,0.0002981745690781313,0.0003317873862575121
