,contextWindow,solutionWindow,trainMSE,testMSE
0,10.0,10.0,0.00033705788353211957,0.0003450532541942338
1,60.0,10.0,0.0003250715976727424,0.00033175008787332256
2,110.0,10.0,0.00031508549800683694,0.00035184018054540986
3,160.0,10.0,0.00031834849647413343,0.00031536060415263383
4,210.0,10.0,0.00033287483253806793,0.00035576685775063813
5,260.0,10.0,0.0003203381488674954,0.00031436292471943194
6,310.0,10.0,0.00032865282273045356,0.00034274829572784334
7,360.0,10.0,0.00032671734786425397,0.00031853994620766366
8,410.0,10.0,0.00029288561613933253,0.00031761977628374084
9,460.0,10.0,0.0003076925233301684,0.0003061800345962583
10,510.0,10.0,0.0002874196954737066,0.00039514333356470844
11,560.0,10.0,0.0002858377374845815,0.0003745270504853945
12,610.0,10.0,0.00028986713997892376,0.00034948759553429034
13,660.0,10.0,0.0003095878264056281,0.0003115079729749531
14,710.0,10.0,0.000273813801582873,0.0003426121561187503
15,760.0,10.0,0.00027232821935361775,0.00037326205967911963
16,810.0,10.0,0.00026217685469973875,0.0003801641923929471
17,860.0,10.0,0.0002736241097827378,0.00035378314276401967
18,910.0,10.0,0.0002810897638456857,0.00035925534868424326
19,960.0,10.0,0.0002747282095502802,0.0003621215776636053
20,10.0,60.0,0.0003710129355573795,0.00035746351279918753
21,60.0,60.0,0.00036006049700887534,0.0003506752971369972
22,110.0,60.0,0.0003585883799571275,0.0003373537584152371
23,160.0,60.0,0.00035503680453481164,0.00037407112921589
24,210.0,60.0,0.00035447832014137714,0.00036002619671809965
25,260.0,60.0,0.0003517153656248057,0.00037903015853564087
26,310.0,60.0,0.00035439356474171974,0.00036141558201478014
27,360.0,60.0,0.000343237078643765,0.0003806410020390579
28,410.0,60.0,0.0003425533502799742,0.0003429411705272535
29,460.0,60.0,0.00034008165026098335,0.0003536893964084146
30,510.0,60.0,0.0003427529046667065,0.00034232432016863864
31,560.0,60.0,0.0003435650294597255,0.00035799424897451726
32,610.0,60.0,0.0003458473978882052,0.00034531230752776824
33,660.0,60.0,0.00034027840661098437,0.00038538245822754725
34,710.0,60.0,0.0003440580203822555,0.00035248021851303954
35,760.0,60.0,0.0003477791977581702,0.00034030629680289727
36,810.0,60.0,0.0003470333259925768,0.00035294199192773836
37,860.0,60.0,0.00033298392632759435,0.00039095927615631263
38,910.0,60.0,0.0003295644982117618,0.0003319963709148386
